emp_id,gender,age,dept,tenure_months,performance,engagement,learning_speed,current_stage
E0065,Female,29,Marketing,76,0.688,0.538,0.388,Performance_Management
E0066,Male,47,Sales,60,0.513,0.63,0.625,Learning_Development
E0067,Male,34,Finance,112,0.988,0.748,0.875,Performance_Management
E0068,Male,51,Sales,109,0.594,0.366,0.526,Engagement
E0069,Other,32,Operations,26,0.925,0.668,0.531,Performance_Management
E0070,Female,34,Engineering,98,0.712,0.982,0.62,Engagement
E0071,Female,31,Sales,83,0.685,0.537,0.198,Performance_Management
E0072,Male,34,Finance,62,0.71,0.699,0.55,Performance_Management
E0073,Female,33,Engineering,54,0.573,0.683,0.845,Engagement
E0074,Male,36,Operations,85,0.857,0.705,0.601,Performance_Management
E0075,Other,55,Sales,30,0.794,0.426,0.576,Performance_Management
E0076,Male,54,Finance,30,0.827,0.666,0.547,Performance_Management
E0077,Male,45,Operations,34,0.793,0.295,0.815,Engagement
E0078,Male,32,HR,111,0.452,0.698,0.714,Engagement
E0079,Female,53,Sales,61,0.598,0.494,0.376,Learning_Development
E0080,Male,27,Engineering,5,0.392,0.562,0.563,Onboarding
E0081,Female,30,Sales,47,0.239,0.46,0.597,Learning_Development
E0082,Female,38,Sales,36,0.761,0.752,0.433,Performance_Management
E0083,Male,43,Marketing,90,0.546,0.638,0.901,Performance_Management
E0084,Female,35,HR,56,0.722,0.443,0.654,Learning_Development
E0085,Female,56,HR,15,0.767,0.659,0.442,Performance_Management
E0086,Male,38,Marketing,90,0.369,0.641,0.473,Learning_Development
E0087,Male,39,Finance,111,0.27,0.68,0.912,Learning_Development
E0088,Female,40,Sales,41,0.778,0.542,0.239,Engagement
E0089,Other,54,Operations,22,0.757,0.477,0.273,Performance_Management
E0090,Male,51,Engineering,119,0.681,0.782,0.548,Performance_Management
E0091,Female,23,HR,8,0.731,0.848,0.531,Learning_Development
E0092,Male,25,HR,84,0.357,0.61,0.607,Learning_Development
E0093,Male,32,Finance,77,0.487,0.47,0.56,Performance_Management
E0094,Male,26,Sales,44,0.763,0.397,1.0,Engagement
E0095,Female,52,Engineering,69,0.541,0.674,0.417,Learning_Development
E0096,Male,56,HR,1,0.738,0.916,0.524,Attraction_Acquisition
E0097,Female,35,Finance,30,0.67,0.512,0.651,Engagement
E0098,Female,47,Marketing,4,0.798,0.259,0.44,Onboarding
E0099,Female,53,HR,38,0.993,0.135,0.882,Engagement
E0100,Female,38,Engineering,111,0.799,0.158,0.602,Engagement
E0101,Male,27,HR,7,0.789,0.783,0.79,Performance_Management
E0102,Male,50,Engineering,116,0.736,0.917,0.763,Learning_Development
E0103,Male,43,Sales,10,0.78,0.928,0.541,Performance_Management
E0104,Male,34,Finance,109,0.601,0.404,0.452,Engagement
E0105,Male,23,HR,95,0.718,0.866,0.99,Performance_Management
E0106,Male,26,Finance,11,0.63,0.665,0.46,Performance_Management
E0107,Female,33,Sales,13,0.389,0.774,0.344,Learning_Development
E0108,Female,57,Finance,5,0.689,0.688,0.605,Onboarding
E0109,Female,50,Marketing,40,0.445,0.534,0.447,Performance_Management
E0110,Female,44,Engineering,1,0.66,0.819,0.178,Attraction_Acquisition
E0111,Male,30,Sales,52,0.925,0.695,0.84,Performance_Management
E0112,Male,46,Sales,75,0.638,0.761,0.735,Engagement
E0113,Male,45,Engineering,71,0.643,0.808,0.396,Engagement
E0114,Female,49,Sales,85,0.73,0.603,1.0,Performance_Management
E0115,Male,28,Engineering,96,0.357,0.603,0.545,Learning_Development
E0116,Male,40,Marketing,32,1.0,0.485,0.789,Engagement
E0117,Male,35,HR,47,0.579,1.0,0.979,Learning_Development
E0118,Male,25,Engineering,8,0.397,0.444,0.306,Learning_Development
E0119,Male,49,Sales,7,0.965,0.582,0.557,Engagement
E0120,Male,44,HR,72,0.668,0.574,0.66,Engagement
E0121,Female,56,Marketing,32,0.46,0.647,0.606,Learning_Development
E0122,Male,35,Sales,7,0.895,0.754,0.623,Performance_Management
E0123,Female,22,Operations,20,0.807,0.801,0.438,Performance_Management
E0124,Male,33,Finance,5,0.863,0.466,0.759,Onboarding
E0125,Male,43,Finance,24,0.585,0.633,0.335,Engagement
E0126,Female,53,Engineering,114,1.0,0.734,0.413,Performance_Management
E0127,Female,25,Sales,58,0.575,0.659,0.687,Learning_Development
E0128,Male,39,Operations,42,0.357,0.71,0.991,Learning_Development
E0129,Female,44,Operations,106,0.779,0.515,0.408,Engagement
E0130,Female,55,Finance,109,0.469,0.702,0.515,Performance_Management
E0131,Female,23,Finance,54,0.795,0.53,0.594,Engagement
E0132,Male,42,HR,40,0.798,0.575,0.715,Performance_Management
E0133,Male,45,Marketing,22,0.92,0.428,0.704,Engagement
E0134,Male,56,Finance,107,0.717,0.39,0.084,Engagement
E0135,Male,22,Engineering,61,0.587,0.475,0.949,Engagement
E0136,Male,51,Marketing,98,0.595,0.468,0.696,Learning_Development
E0137,Male,37,HR,8,0.832,0.857,0.702,Performance_Management
E0138,Female,37,Marketing,72,0.637,0.268,0.645,Engagement
E0139,Male,42,Marketing,7,0.687,0.689,0.503,Performance_Management
E0140,Male,50,Sales,95,0.655,0.606,0.756,Learning_Development
E0141,Female,45,HR,108,0.557,0.392,0.831,Engagement
E0142,Female,36,Engineering,4,0.533,0.809,0.741,Onboarding
E0143,Female,23,HR,42,0.701,0.512,0.289,Engagement
E0144,Male,50,Marketing,113,0.558,0.103,0.752,Engagement
E0145,Other,31,Marketing,25,0.706,0.657,0.091,Learning_Development
E0146,Male,24,Operations,14,0.792,0.51,0.697,Learning_Development
E0147,Female,36,Engineering,15,0.941,0.91,0.33,Performance_Management
E0148,Male,27,Marketing,88,1.0,0.467,0.807,Learning_Development
E0149,Male,55,Engineering,90,0.942,0.694,0.662,Performance_Management
E0150,Female,44,Engineering,9,0.583,0.365,0.725,Engagement
E0151,Male,53,HR,102,0.839,0.876,0.7,Performance_Management
E0152,Male,25,Marketing,101,0.54,0.522,0.613,Learning_Development
E0153,Female,55,Finance,79,0.71,0.609,0.411,Learning_Development
E0154,Male,34,Finance,69,0.658,0.806,0.583,Performance_Management
E0155,Female,34,Operations,33,0.805,0.648,0.617,Learning_Development
E0156,Male,34,HR,45,0.842,0.834,0.854,Performance_Management
E0157,Male,52,Sales,10,0.767,0.492,0.691,Engagement
E0158,Male,57,Sales,78,0.504,0.772,0.694,Engagement
E0159,Male,45,Operations,35,0.309,0.522,0.403,Learning_Development
E0160,Male,53,Sales,63,0.437,0.52,0.719,Performance_Management
E0161,Female,38,Finance,22,0.772,0.553,0.956,Performance_Management
E0162,Female,39,Sales,14,0.549,0.675,0.894,Performance_Management
E0163,Male,55,Marketing,98,0.638,0.354,0.511,Engagement
E0164,Female,50,HR,116,0.733,0.716,0.443,Engagement
E0165,Female,49,Operations,21,0.586,0.231,0.425,Engagement
E0166,Male,36,Sales,61,0.714,0.542,0.661,Engagement
E0167,Other,46,Engineering,93,0.96,0.742,0.709,Performance_Management
E0168,Female,28,HR,93,0.685,0.742,0.53,Performance_Management
E0169,Female,41,Finance,9,0.909,0.592,0.235,Engagement
E0170,Female,23,HR,64,0.6,0.595,0.512,Performance_Management
E0171,Other,53,HR,45,0.526,0.652,0.653,Engagement
E0172,Male,38,Finance,46,0.649,0.368,0.881,Engagement
E0173,Female,53,Sales,97,0.808,0.425,0.558,Learning_Development
E0174,Male,34,Finance,26,0.47,0.544,0.945,Performance_Management
E0175,Female,32,Operations,67,0.765,0.642,0.744,Learning_Development
E0176,Male,53,Engineering,114,0.878,0.712,0.476,Performance_Management
E0177,Female,37,Finance,6,1.0,0.56,0.84,Engagement
E0178,Male,35,HR,82,0.464,0.494,0.686,Engagement
E0179,Male,27,Sales,83,0.853,0.608,0.576,Performance_Management
E0180,Male,50,Marketing,63,0.737,0.516,0.799,Learning_Development
E0181,Male,41,Finance,24,0.601,0.79,1.0,Learning_Development
E0182,Male,55,Finance,66,0.887,0.688,0.355,Performance_Management
E0183,Male,39,Operations,15,0.405,0.75,0.392,Performance_Management
E0184,Male,35,Marketing,2,0.708,0.542,0.187,Attraction_Acquisition
E0185,Female,35,Engineering,84,0.641,0.369,0.62,Engagement
E0186,Male,49,Sales,35,0.417,0.832,0.447,Learning_Development
E0187,Male,52,HR,10,0.712,0.181,0.606,Engagement
E0188,Female,22,Operations,20,0.756,0.623,0.387,Learning_Development
E0189,Female,33,Operations,49,0.415,0.676,0.645,Engagement
E0190,Female,41,Sales,78,0.659,0.462,0.521,Learning_Development
E0191,Male,54,Engineering,51,0.464,0.783,0.626,Engagement
E0192,Male,44,Finance,38,0.849,0.392,0.685,Engagement
E0193,Other,22,Operations,96,0.46,0.761,0.282,Engagement
E0194,Female,31,Marketing,114,0.77,0.497,0.632,Engagement
E0195,Female,25,Engineering,1,0.741,0.728,0.299,Attraction_Acquisition
E0196,Male,26,Engineering,90,0.472,0.512,0.195,Learning_Development
E0197,Male,34,Engineering,117,0.818,0.923,0.65,Performance_Management
E0198,Female,25,Marketing,19,0.758,0.74,0.485,Performance_Management
E0199,Female,45,Marketing,54,0.898,0.332,0.806,Engagement
E0200,Female,28,Operations,19,0.472,0.169,0.409,Engagement
E0201,Male,47,HR,99,0.412,0.69,0.319,Performance_Management
E0202,Male,24,Operations,26,0.356,0.634,0.018,Learning_Development
E0203,Female,42,HR,119,0.554,0.626,0.634,Engagement
E0204,Male,42,Operations,86,0.566,0.515,0.652,Performance_Management
E0205,Male,49,HR,8,1.0,0.784,0.204,Performance_Management
E0206,Female,34,Finance,90,0.626,0.568,0.337,Learning_Development
E0207,Male,57,Finance,68,0.749,0.695,0.049,Engagement
E0208,Female,43,Marketing,21,0.599,0.68,0.66,Performance_Management
E0209,Male,29,Engineering,26,0.417,0.429,0.317,Engagement
E0210,Female,31,Engineering,18,0.548,0.686,0.299,Learning_Development
E0211,Female,55,Engineering,119,0.605,0.338,0.582,Engagement
E0212,Male,56,Finance,71,0.373,0.654,0.871,Learning_Development
E0213,Female,23,HR,7,0.347,0.439,0.911,Learning_Development
E0214,Male,32,Finance,46,0.704,0.493,0.193,Performance_Management
E0215,Male,54,Finance,3,0.751,0.263,0.274,Onboarding
E0216,Male,25,Operations,49,0.739,0.793,0.593,Performance_Management
E0217,Female,24,Marketing,44,0.542,0.365,0.279,Engagement
E0218,Female,44,Finance,2,0.299,0.474,0.369,Attraction_Acquisition
E0219,Other,50,Engineering,55,0.679,0.417,0.568,Learning_Development
